Artist,Day
Angèle,Friday
Ashnikko,Friday
Bad Bunny,Friday
Becky G,Friday
BENEE,Friday
Blondie,Friday
Burna Boy,Friday
The Chemical Brothers,Friday
Chris Stussy,Friday
The Comet Is Coming,Friday
DannyLux,Friday
Dennis Cruz,Friday
Doechii,Friday
Dombresky,Friday
DOMi & JD BECK,Friday
FKJ,Friday
Gabriels,Friday
The Garden,Friday
Gorillaz,Friday
Idris Elba,Friday
Jamie Jones,Friday
Juliet Mendoza,Friday
Jupiter & Okwess,Friday
KAYTRANADA,Friday
Kyle Watson,Friday
Lava La Rue,Friday
Lewis OfMan,Friday
Maceo Plex,Friday
Magdalena Bay,Friday
Malaa,Friday
Metro Boomin,Friday
Mochakk,Friday
MUNA,Friday
The Murder Capital,Friday
Nora En Pure,Friday
Oliver Koletzki,Friday
Overmono,Friday
Pusha T,Friday
Saba,Friday
SG Lewis,Friday
Sleaford Mods,Friday
Soul Glo,Friday
¿Téo?,Friday
Testpilot,Friday
Tobe Nwigwe,Friday
TV Girl,Friday
Two Friends,Friday
Uncle Waffles,Friday
Vintage Culture,Friday
Wet Leg,Friday
Whyte Fang,Friday
YUNGBLUD,Friday
Yves Tumor,Friday
Desert Cahuilla Bird Singers,Friday
AG Club,Saturday
Bakar,Saturday
BLACKPINK,Saturday
boygenius,Saturday
Bratty,Saturday
The Breeders,Saturday
Charli XCX,Saturday
Chloé Caillet,Saturday
Chromeo,Saturday
Colyn,Saturday
Destroy Boys,Saturday
Diljit Dosanjh,Saturday
Dinner Party,Saturday
DJ Tennis,Saturday
Donavan’s Yard,Saturday
DRAMA,Saturday
EARTHGANG,Saturday
Eladio Carrion,Saturday
Elderbrook,Saturday
Elyanna,Saturday
Holo,Saturday
Ethel Cain,Saturday
Flo Milli,Saturday
Francis Mercier,Saturday
Hiatus Kaiyote,Saturday
Horsegirl,Saturday
Hot Since 82,Saturday
Jan Blomqvist,Saturday
Keinemusik,Saturday
Kenny Beats,Saturday
The Kid LAROI,Saturday
Labrinth,Saturday
The Linda Lindas,Saturday
Los Fabulosos Cadillacs,Saturday
Marc Rebillet,Saturday
Mathame,Saturday
Monolink,Saturday
Mura Masa,Saturday
Nia Archives,Saturday
Rebelution,Saturday
Remi Wolf,Saturday
ROSALÍA,Saturday
Scowl,Saturday
Shenseea,Saturday
Snail Mail,Saturday
Sofi Tukker,Saturday
$uicideboy$,Saturday
Sunset Rollercoaster,Saturday
Tale Of Us,Saturday
UMI,Saturday
Underworld,Saturday
WhoMadeWho,Saturday
Yaeji,Saturday
Yung Lean,Saturday
070 Shake,Saturday
A Boogie Wit da Hoodie,Sunday
Adam Beyer,Sunday
Airrica,Sunday
Alex G,Sunday
Ali Sethi,Sunday
Big Wild,Sunday
Björk,Sunday
The Blaze,Sunday
Boris Brejcha,Sunday
Calvin Harris,Sunday
CamelPhat,Sunday
Cannons,Sunday
Cassian,Sunday
Christine and the Queens,Sunday
Conexión Divina,Sunday
Despacio,Sunday
Dominic Fike,Sunday
DPR IAN,Sunday
El Michels Affair,Sunday
Chris Lake,Sunday
Fousheé,Sunday
Frank Ocean,Sunday
GloRilla,Sunday
Gordo,Sunday
IDK,Sunday
Jackson Wang,Sunday
Jai Paul,Sunday
Jai Wolf,Sunday
Joy Crookes,Sunday
Kali Uchis,Sunday
Knocked Loose,Sunday
Latto,Sunday
Los Bitchos,Sunday
LP Giobbi,Sunday
Mareux,Sunday
Minus the Light,Sunday
MK,Sunday
Momma,Sunday
Noname,Sunday
Paris Texas,Sunday
Pi’erre Bourne,Sunday
Porter Robinson,Sunday
Rae Sremmurd,Sunday
Romy,Sunday
John Digweed,Sunday
Sasha Alex Sloan,Sunday
Stick Figure,Sunday
Sudan Archives,Sunday
TSHA,Sunday
Weyes Blood,Sunday
WILLOW,Sunday
1999.ODDS,Sunday
2ManyDJs,Sunday